Agency_Id,Service_Id,ServiceContact_ServiceContact,ServiceSystem_DateOfLastCompleteUpdate,ServiceOption_Status,ServiceOption_WebsiteVisibility,ServiceAccount_ServiceAccount_Both,ServiceAccount_ServiceAccount,ServiceOption_CallCenterList,ServiceSystem_Name,ServiceCustom_Wa211serviceAffectedByCovid19,ServiceCustom_WaPhoneworkerNote,ServiceSystem_Description,ServiceSystem_PhoneMain,ServiceCustom_Phone1Ext,ServiceCustom_Phone1Description,ServiceSystem_EmailAddress,ServiceSystem_Websiteurl,ServiceProgram_ServiceProgram_Both,ServiceProgram_ServiceProgram,ServiceSite_ServiceSite_Both,ServiceSite_ServiceSite,ServiceHoursofoperation_ModuleHoursofoperation,ServiceOption_DaysOfTheWeek,ServiceOption_HoursOfService,ServiceCustom_Wa211viewHoursStyle,ServiceSystem_HoursOfOperation,ServiceTaxonomy_ModuleServicepost,ServiceGeotagus_ServiceGeotagus,ServiceCustom_ServiceAka,ServiceCustom_Wa211HoursStyleGuide,ServiceCustom_Wa211HoursStyle,ServiceOption_FocusPopulations,ServiceOption_AgeGroups,ServiceOption_DisabilitiesHealthConditions
5984,1066,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Financial Assistance offered by DSHS Community Services Office in King Eastside,"Community Services Offices open to full on-demand, in-person services.",,"Provides financial assistance programs to low-income families, immigrants and refugees, pregnant women, and people who are aged, blind or disabled. Programs include TANF/WorkFirst, AREN, Diversion Cash Assistance, Refugee Cash Assistance and ABD.",877-501-2233,,,,https://www.washingtonconnection.org,"[{""Program_Id"":2130,""Name"":""Financial Assistance""}]","[{""Program_Id"":2130}]","[{""Site_Id"":9416,""Name"":""DSHS Community Services Office in King Eastside""}]","[{""Site_Id"":9416}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""PH-1000""},{""taxonomy_code"":""NS-1800.8100-820""},{""taxonomy_code"":""NS-1800.8100-800""},{""taxonomy_code"":""NL-1000.8500-850""},{""taxonomy_code"":""NL-1000.8500-830""},{""taxonomy_code"":""NL-1000.7000""},{""taxonomy_code"":""NL-1000.2400-150""},{""taxonomy_code"":""BV-8900.9300-950""},{""taxonomy_code"":""BV-8900.9300-800""},{""taxonomy_code"":""BV-8900.9300-300""},{""taxonomy_code"":""BV-8900.9300-250""},{""taxonomy_code"":""BV-8900.9300-180""},{""taxonomy_code"":""BH-3800.7250""},{""taxonomy_code"":""BH-3800.7000""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Financial Assistance offered by DSHS Community Services Office in King Eastside Temporary Assistance for Needy Families TANF WorkFirstAged Blind and Disabled ABDPregnant Women's AssistanceDiversion Cash AssistanceRefugee Cash AssistanceState Family AssistanceAdditional Requirements for Emergent Needs AREN,,,"[""Pregnant Women"",""Immigrant""]",,"[""General Disabilities""]"
5984,1649,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Medicare Savings offered by DSHS Community Services Office in Federal Way,"Community Services Offices open to full on-demand, in-person services.",,Helps low-income Medicare recipients pay for their Medicare Part A and Part B premiums. DSHS pays the co-pays and deductible as well for very low income Medicare beneficiaries.,877-501-2233,,,,https://www.dshs.wa.gov/esa/community-services-offices/medicare-savings-program,"[{""Program_Id"":14958,""Name"":""Medicare Savings""}]","[{""Program_Id"":14958}]","[{""Site_Id"":9090,""Name"":""DSHS Community Services Office in Federal Way""}]","[{""Site_Id"":9090}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""LH-5100.3000""},{""taxonomy_code"":""NL-5000.5000-700""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Medicare Savings offered by DSHS at Community Services Office in Federal Way,,,,"[""Older Adults (65+)""]","[""General Disabilities""]"
5984,1650,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington Basic Food Program offered by DSHS Community Services Office in Federal Way,"Community Services Offices open to full on-demand, in-person services.",,"Supplements the income of Washington state residents, including legal immigrants, by providing food benefits. Monthly benefit amounts vary based on the number of people in the household, income and living expenses. Issues vouchers to replace food lost during major disasters.",877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/esa/community-services-offices/basic-food,"[{""Program_Id"":12400,""Name"":""Washington Basic Food Program""}]","[{""Program_Id"":12400}]","[{""Site_Id"":9090,""Name"":""DSHS Community Services Office in Federal Way""}]","[{""Site_Id"":9090}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""NL-6000.2000-200""},{""taxonomy_code"":""NL-6000.2000-220""},{""taxonomy_code"":""TH-2600.6450-170""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington Basic Food Program offered by DSHS Community Services Office in Federal Way,,,,,
5984,1651,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office in Federal Way,"Community Services Offices open to full on-demand, in-person services.",,"Partners with Lifeline mobile phone service providers to help program recipients continue their existing Lifeline mobile phone service. Must have a plan with Assurance, Access, Q Link, Safelink or TerraCom. Must pick up PIN at a CSO.",877-501-2233,,,,http://www.dshs.wa.gov,"[{""Program_Id"":8640,""Name"":""Additional Lifeline Phone Minutes""}]","[{""Program_Id"":8640}]","[{""Site_Id"":9090,""Name"":""DSHS Community Services Office in Federal Way""}]","[{""Site_Id"":9090}]","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4pm.","[{""taxonomy_code"":""BV-8900.1700-850""},{""taxonomy_code"":""BV-8900.9300-850""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office in Federal Way,,,,,
5984,1652,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington State ID Card Assistance offered by DSHS Community Services Office in Federal Way,"Community Services Offices open to full on-demand, in-person services.",,Assists recipients of DSHS public assistance with obtaining a Washington State ID card at a reduced cost from the Department of Licensing. Case workers at DSHS will fill out a form clients can take to DOL and get a card for $5.,877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/office-locations,"[{""Program_Id"":5957,""Name"":""Washington State ID Card Assistance""}]","[{""Program_Id"":5957}]","[{""Site_Id"":9090,""Name"":""DSHS Community Services Office in Federal Way""}]","[{""Site_Id"":9090}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""DF-7020.3300""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington State ID Card Assistance offered by DSHS Community Services Office in Federal Way,,,,,
5984,1654,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Financial Assistance offered by DSHS Community Services Office in Federal Way,"Community Services Offices open to full on-demand, in-person services.",,"Provides financial assistance programs to low-income families, immigrants and refugees, pregnant women, and people who are aged, blind or disabled. Programs include TANF/WorkFirst, AREN, Diversion Cash Assistance, Refugee Cash Assistance and ABD.",877-501-2233,,,,https://www.washingtonconnection.org,"[{""Program_Id"":2130,""Name"":""Financial Assistance""}]","[{""Program_Id"":2130}]","[{""Site_Id"":9090,""Name"":""DSHS Community Services Office in Federal Way""}]","[{""Site_Id"":9090}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""PH-1000""},{""taxonomy_code"":""NS-1800.8100-820""},{""taxonomy_code"":""NS-1800.8100-800""},{""taxonomy_code"":""NL-1000.8500-850""},{""taxonomy_code"":""NL-1000.8500-830""},{""taxonomy_code"":""NL-1000.7000""},{""taxonomy_code"":""NL-1000.2400-150""},{""taxonomy_code"":""BV-8900.9300-950""},{""taxonomy_code"":""BV-8900.9300-800""},{""taxonomy_code"":""BV-8900.9300-300""},{""taxonomy_code"":""BV-8900.9300-250""},{""taxonomy_code"":""BV-8900.9300-180""},{""taxonomy_code"":""BH-3800.7250""},{""taxonomy_code"":""BH-3800.7000""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Financial Assistance offered by DSHS Community Services Office in Federal WayTemporary Assistance for Needy Families TANF WorkFirstAged Blind and Disabled ABDPregnant Women's AssistanceDiversion Cash AssistanceRefugee Cash AssistanceState Family AssistanceAdditional Requirements for Emergent Needs AREN,,,"[""Immigrant"",""Pregnant Women""]",,"[""General Disabilities""]"
5984,2391,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Medicare Savings offered by DSHS Community Services Office in Capitol Hill,"Community Services Offices open to full on-demand, in-person services.",,Helps low-income Medicare recipients pay for their Medicare Part A and Part B premiums. DSHS pays the co-pays and deductible as well for very low income Medicare beneficiaries.,877-501-2233,,,,https://www.dshs.wa.gov/esa/community-services-offices/medicare-savings-program,"[{""Program_Id"":14958,""Name"":""Medicare Savings""}]","[{""Program_Id"":14958}]","[{""Site_Id"":8690,""Name"":""DSHS Community Services Office on Capitol Hill""}]","[{""Site_Id"":8690}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""LH-5100.3000""},{""taxonomy_code"":""NL-5000.5000-700""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Medicare Savings offered by DSHS at Community Services Office in Capitol Hill,,,,"[""Older Adults (65+)""]","[""General Disabilities""]"
5984,2392,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington Basic Food Program offered by DSHS Community Services Office on Capitol Hill,"Community Services Offices open to full on-demand, in-person services.",,"Supplements the income of Washington state residents, including legal immigrants, by providing food benefits. Monthly benefit amounts vary based on the number of people in the household, income and living expenses. Issues vouchers to replace food lost during major disasters.",877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/esa/community-services-offices/basic-food,"[{""Program_Id"":12400,""Name"":""Washington Basic Food Program""}]","[{""Program_Id"":12400}]","[{""Site_Id"":8690,""Name"":""DSHS Community Services Office on Capitol Hill""}]","[{""Site_Id"":8690}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""NL-6000.2000-200""},{""taxonomy_code"":""NL-6000.2000-220""},{""taxonomy_code"":""TH-2600.6450-170""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington Basic Food Program offered by DSHS Community Services Office on Capitol Hill,,,,,
5984,2393,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office in Capitol Hill,"Community Services Offices open to full on-demand, in-person services.",,"Partners with Lifeline mobile phone service providers to help program recipients continue their existing Lifeline mobile phone service. Must have a plan with Assurance, Access, Q Link, Safelink or TerraCom. Must pick up PIN at a CSO.",877-501-2233,,,,http://www.dshs.wa.gov,"[{""Program_Id"":8640,""Name"":""Additional Lifeline Phone Minutes""}]","[{""Program_Id"":8640}]","[{""Site_Id"":8690,""Name"":""DSHS Community Services Office on Capitol Hill""}]","[{""Site_Id"":8690}]","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4pm.","[{""taxonomy_code"":""BV-8900.1700-850""},{""taxonomy_code"":""BV-8900.9300-850""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office in Capitol Hill,,,,,
5984,2394,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington State ID Card Assistance offered by DSHS Community Services Office on Capitol Hill,"Community Services Offices open to full on-demand, in-person services.",,Assists recipients of DSHS public assistance with obtaining a Washington State ID card at a reduced cost from the Department of Licensing. Case workers at DSHS will fill out a form clients can take to DOL and get a card for $5.,877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/office-locations,"[{""Program_Id"":5957,""Name"":""Washington State ID Card Assistance""}]","[{""Program_Id"":5957}]","[{""Site_Id"":8690,""Name"":""DSHS Community Services Office on Capitol Hill""}]","[{""Site_Id"":8690}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm","[{""taxonomy_code"":""DF-7020.3300""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington State ID Card Assistance offered by DSHS Community Services Office on Capitol Hill,,,,,
5984,2396,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Financial Assistance offered by DSHS Community Services Office on Capitol Hill,"Community Services Offices open to full on-demand, in-person services.",,"Provides financial assistance programs to low-income families, immigrants and refugees, pregnant women, and people who are aged, blind or disabled. Programs include TANF/WorkFirst, AREN, Diversion Cash Assistance, Refugee Cash Assistance and ABD.",877-501-2233,,,,https://www.washingtonconnection.org,"[{""Program_Id"":2130,""Name"":""Financial Assistance""}]","[{""Program_Id"":2130}]","[{""Site_Id"":8690,""Name"":""DSHS Community Services Office on Capitol Hill""}]","[{""Site_Id"":8690}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""PH-1000""},{""taxonomy_code"":""NS-1800.8100-820""},{""taxonomy_code"":""NS-1800.8100-800""},{""taxonomy_code"":""NL-1000.8500-850""},{""taxonomy_code"":""NL-1000.8500-830""},{""taxonomy_code"":""NL-1000.7000""},{""taxonomy_code"":""NL-1000.2400-150""},{""taxonomy_code"":""BV-8900.9300-950""},{""taxonomy_code"":""BV-8900.9300-800""},{""taxonomy_code"":""BV-8900.9300-300""},{""taxonomy_code"":""BV-8900.9300-250""},{""taxonomy_code"":""BV-8900.9300-180""},{""taxonomy_code"":""BH-3800.7250""},{""taxonomy_code"":""BH-3800.7000""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Financial Assistance offered by DSHS Community Services Office on Capitol HillTemporary Assistance for Needy Families TANF WorkFirstAged Blind and Disabled ABDPregnant Women's AssistanceDiversion Cash AssistanceRefugee Cash AssistanceState Family AssistanceAdditional Requirements for Emergent Needs AREN,,,"[""Immigrant"",""Pregnant Women""]",,"[""General Disabilities""]"
5984,3327,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Medicare Savings offered by DSHS Community Services Office in Belltown,"Community Services Offices open to full on-demand, in-person services.",,Helps low-income Medicare recipients pay for their Medicare Part A and Part B premiums. DSHS pays the co-pays and deductible as well for very low income Medicare beneficiaries.,877-501-2233,,,,https://www.dshs.wa.gov/esa/community-services-offices/medicare-savings-program,"[{""Program_Id"":14958,""Name"":""Medicare Savings""}]","[{""Program_Id"":14958}]","[{""Site_Id"":8174,""Name"":""DSHS Community Services Office in Belltown""}]","[{""Site_Id"":8174}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""LH-5100.3000""},{""taxonomy_code"":""NL-5000.5000-700""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Medicare Savings offered by DSHS at Community Services Office in Belltown,,,,"[""Older Adults (65+)""]","[""General Disabilities""]"
